Topic,Count,Name,Representation,KeyBERT,MMR,Representative_Docs
36,52,36_mujeres_feminista_mujer_activista,"['mujeres', 'feminista', 'mujer', 'activista', 'gnero', 'lucha', 'cncer', 'women', 'feministas', 'trans']","['feministas', 'feminista', 'feminist', 'mujeres', 'feminismo', 'women', 'femenina', 'mujer', 'madres', 'activista']","['mujeres', 'feminista', 'mujer', 'activista', 'women', 'feministas', 'feminist', 'feminismo', 'blogger', 'femenina']","['se solidarizan mujeres biencon mujeres iranes ah pero cuando hay una lucha feminista en son las mismas que critican no me representan son fminazis no a las protestas miren como dejan las calles ninguna lucha se gan en las calles mis derechos me los gane yo ', 'como todos los aos hoy y el mundo se tien de rosa para apoyar a las mujeres que sufren o han sufrido cncer de mama un tumor que es el ms frecuente en las mujeres segn datos de la asociacin contra', 'votoporunamujer mujeres madres futuras madres abuelas esta en nuestras manos el futuro de nuestros hijos y nietos si somos mas del de mujeres en el digamos no al comunismo no al terrorismo las mujeres unidas por un per en democracia ']"
37,51,37_tt_convertirse_ocupando_posicin,"['tt', 'convertirse', 'ocupando', 'posicin', 'acaba', 'trndnl', 'ms', 'guardiola', 'jacson', 'mpetu']","['trndnl', 'tt', 'miguel', 'tica', 'jos', 'munder', 'mpetu', 'convertirse', 'nassib', 'trujillo']","['tt', 'guardiola', 'wwefastlane', 'luciana', 'morelia', 'lacasaquenosdivide', 'violeta', 'nassib', 'preliminarrequesens', 'silvestri']","[' parque del este acaba de convertirse en tt ocupando la posicin en ms en', ' fueron acaba de convertirse en tt ocupando la posicin en ms en trndnl', ' acaba de convertirse en tt ocupando la posicin en ms en trndnl']"
38,48,38_pandemia_contagiados_cifras_nmero,"['pandemia', 'contagiados', 'cifras', 'nmero', 'covid19', 'contagio', 'ms', 'verdadera', 'pgina', 'medida']","['pandemia', 'contagios', 'contagio', 'contagiados', 'virus', 'descontrolada', 'afecciones', 'informaran', 'mundo', 'sanciona']","['pandemia', 'contagiados', 'contagio', 'pgina', 'virus', 'fallecidos', 'respiradores', 'colapso', 'peor', 'contagios']","['as como a nivel internacional trump pretende un castigo econmico a x no avisar de la pandemia a nivel pas bien podemos ponerles impuestos a la lite que trajo el virus y caus la pandemia en y tienen buena espalda para contribuir ', ' en tiempos de pandemia en ', 'ahora si la pandemia est fuera de control en ']"
39,48,39_whatsapp_envo_directo_pedidos,"['whatsapp', 'envo', 'directo', 'pedidos', 'giuliano', 'informacin', 'ignacio', 'sexshop', 'novedades', 'oferta']","['whatsapp', 'comercial', 'sexshopplaceressecretos', 'prximos', 'santacruzdelasierra', 'santacruzbolivia', 'banco', 'oferta', 'disponibles', 'pronostica']","['whatsapp', 'sexshop', 'sextoys', 'pronostica', 'sexshopplaceressecretos', '4769793', 'comercial', 'santacruzdelasierra', 'sexo', 'delivery']","['ms info en o por whatsapp al en centro montevideo ', 'oferta mil gs giuliano comercial whatsapp frente al banco familiar misiones en mnes ', 'giuliano comercial whatsapp frente al banco familiar y en ']"
40,48,40_incendio_bomberos_incendios_forestal,"['incendio', 'bomberos', 'incendios', 'forestal', '10', 'pastizales', 'forestales', 'chilln', 'voluntarios', 'quema']","['incendios', 'incendio', 'bomberoslojajuntoati', 'bomberos', 'fuego', 'fire', 'quema', 'forestal', 'forestales', 'cerro']","['incendio', 'bomberos', 'incendios', 'forestales', 'voluntarios', 'rescate', 'fuego', 'quisco', 'ascensor', 'fire']","['bomberos y vecinos trabajan para controlar incendio en sector de la comuna de', 'incendio forestal en varias unidades combaten el incendio en la base naval norte', 'incendio de pastizales rotonda concurre bomberos en ']"
41,46,41_narcotrfico_narcotrafico_drogas_narco,"['narcotrfico', 'narcotrafico', 'drogas', 'narco', 'narcos', 'usted', 'coca', 'cartel', 'droga', 'mxico']","['contrabando', 'narcotrfico', 'traficantes', 'narcotrafico', 'narco', 'narcos', 'cocana', 'drogaria', 'coca', 'crimenorganizado']","['narcotrfico', 'narcotrafico', 'narco', 'narcos', 'mxico', 'maconha', 'cocana', 'traficantes', 'contrabando', 'paramilitares']","['traficantes do rio usam bons personalizados traficantes de uma faco criminosa do inventaram uma forma de ostentar sua ligao com o crime bons personalizados com referncias sobre as comunidades onde atuam ', 'a coca uma folha sagrada companheira de longa data nas lutas indgenas com liberdade e dignidade uma planta medicinal e legalizada na e por isso fcil encontrar diversos produtos com a coca desde chs bolos e at pasta dental ', 'y su padre decidi traicinar a y negociar el no q gano plesbicito con nobelbretch pirq al igual q mafistrados cartel toga narcojusticia farc hecha ley hecha la trampa col dijo no a ilegal criminal narcoacuerdo hab farcsa su padre es un traidor vendio col']"
42,45,42_earthquake_km_sismo_utc,"['earthquake', 'km', 'sismo', 'utc', 'temblor', 'm4', 'felt', 'reports', 'usgs', 'ago']","['earthquake', 'sismo', 'quake', 'usgs', 'kilmetros', 'km', 'm4', 'temblor', 'geologo', 'geolgica']","['earthquake', 'km', 'sismo', 'temblor', 'felt', 'usgs', 'magnitud', 'geofsico', 'strikes', 'wsw']","['usgs reports a m4 3 earthquake km wsw of on 11 21 16 43 utc earthquake', 'usgs reports a m4 1 earthquake km sw of on 24 21 50 11 utc earthquake', 'usgs reports a m4 4 earthquake km wsw of on 10 20 00 11 utc earthquake']"
43,45,43_twitter_tweet_tuit_pititatwittera,"['twitter', 'tweet', 'tuit', 'pititatwittera', 'tuits', 'redes', 'google', 'created', 'account', 'ajaja']","['twittersuspendacuentauribe', 'twitter', 'mianiversariodetwitter', 'pititatwittera', 'twittear', 'twitear', 'tuit', 'tweet', 'tuits', 'twiteros']","['twitter', 'tweet', 'tuit', 'pititatwittera', 'tuits', 'google', 'account', 'guaido', 'twittersuspendacuentauribe', 'twitear']","['entre a ver quien era khainata que ahora maneja y tienen la pagina web ms fea del mundo su cuenta de twitter no existe y pues nada ya cuenten que tiene esta empresa habiendo otras super buenas en ', 'actually i use twitter since but created this new one in but people in don t use it too much a lot of my friends created an account like 3 days ago', 'si se crearon el y repito por milsima vez que se crearon ahora por que nos enteramos que evo menta y manipulaba al mundo a travs de este medio que no se en nadie saba de twitter hasta que evo esparca su veneno por aqu y vinimos todos a desmentir sus evadas']"
44,44,44_empresas_empresarial_valor_empleo,"['empresas', 'empresarial', 'valor', 'empleo', 'gerente', 'emprendimiento', 'empresa', 'travs', 'ocp', 'crecimiento']","['emprendedorpontelaspilasok', 'empresarios', 'empresarial', 'emprendedorlastima', 'negociosdigitales', 'emprendedores', 'empresa', 'empresas', 'firma', 'colaboradores']","['empresas', 'empresarial', 'empleo', 'gerente', 'emprendimiento', 'negocios', 'emprendedores', 'empresarios', 'iniciativa', 'oportunidades']","['somos nodusbrandcoworking una nueva forma de espacio y trabajo colaborativo que fomenta el crecimiento personal y empresarial mientras haces negocios y generas las mejores oportunidades a travs del networking estamos en tulugardecrecimiento', 'hoy conversamos junto a gerente de secretario de mariana muo directora de competitividad y william garca director desarrollo empresarial y de empleo sobre los corazones productivos de ', 'de las ms destacadas empresas en desde a travs de la formacin tecnolgica dual testificamos sus excelentes prcticas empresariales y el valor que dan al talento humano con gerentes de lujo como']"
45,42,45_hotel_suites_eurobuilding_hotels,"['hotel', 'suites', 'eurobuilding', 'hotels', 'located', 'ft', 'sq', '59176118586', 'hoteles', 'estacionamiento']","['hotel', 'hotels', 'hoteles', 'hotelreview', 'hotelconencanto', 'hotelnubesbar', 'latrepadora_hotel', 'habitaciones', 'vacationrentals', 'huperhotel']","['hotel', 'suites', 'eurobuilding', 'hotels', 'located', 'hoteles', 'studio', 'casa', 'night', 'people']","['i m at plaza hotel in', 'i m at hotel in', 'i m at hotel in ']"
46,40,46_capital_centro_central_ciudad,"['capital', 'centro', 'central', 'ciudad', 'metropolitana', 'torre', 'municipalidad', 'city', 'metro', 'datocurioso']","['capital', 'ciudad', 'metropolitana', 'metropolitan', 'edificio', 'metropolitano', 'city', 'municipalidad', 'ubicado', 'habitantes']","['capital', 'central', 'ciudad', 'metropolitana', 'torre', 'municipalidad', 'construdo', 'constructoraeisa', 'palace', 'pinedaestrada']","['i m at in capital', ' capital del estado en ', ' capital']"
47,40,47_libro_libros_lectura_leer,"['libro', 'libros', 'lectura', 'leer', 'biblioteca', 'megustaleer', 'librera', 'adquirir', 'cultura', 'ejemplares']","['lecturadecuarentena', 'lecturas', 'leitura', 'libro', 'librito', 'lectura', 'libros', 'book', 'literarias', 'reading']","['libro', 'libros', 'lectura', 'librera', 'cultura', 'bibliotecas', 'gimenez', 'libreras', 'book', 'tambin']","['un honor haber recibido hoy el reciente libro de jc faidutti donde narra la experiencia de haber compartido su hogar con elprofetavelasco ibarra 5 veces presidente del una lectura amena q devela el lado ms ntimo d quien domin la escena poltica del pas x medio siglo', 'ayuda mis hermanos as qu es lo ms adecuado leer un libro diferente cada da leer un solo libro todos los das hasta terminarlo saludos desde', 'alba desde nuestra pgina de facebook qu libro leo nos cuenta que est leyendo tu no matars de julia navarro megustaleer libros leer megustaleer quelibroleo leoycomparto ']"
48,36,48_bandera_smbolo_nacional_celebra,"['bandera', 'smbolo', 'nacional', 'celebra', 'patuju', 'independencia', 'himno', 'lucha', 'orgullo', 'patrio']","['bandera', 'patrio', 'celebramos', 'celebra', 'orgullo', 'nacional', 'patuju', 'vernos', 'celebraron', 'duelonacional']","['bandera', 'nacional', 'patuju', 'independencia', 'lucha', 'orgullo', 'patrio', 'celebramos', 'homenaje', 'duelonacional']","['historico hoy se incorpora la bandera flor de patuju la bandera de la que representa al occidente la bandera de la flor del patuju que representa al y nuestra hermosa bandera de libre hace todo bien', 'que hace la bandera de ah ', 'feliz da de la bandera nacional']"
49,36,49_bicicleta_bicicletas_ciclismo_r4,"['bicicleta', 'bicicletas', 'ciclismo', 'r4', 'ciclova', 'licencia', 'moto', 'bmx', 'enduro', 'balin']","['bikesom', 'ciclismo', 'ciclista', 'pedaleando', 'bicicleta', 'cycling', 'motociclismo', 'ciclistas', 'bikecicle', 'bicicletas']","['bicicleta', 'bicicletas', 'ciclismo', 'pedaleando', 'ciclistas', 'ciclista', 'bikers', 'pedaleda', 'pedal', 'cycling']","['impresin de licencia para motocicletas de cualquier cilindraje categora a2 trmite para obtener licencia de conduccin primera vez para personas de jamund y alrededores somos tu gua en todo el trmite licencia conduccion pase autoescuela transito moto ', 'sonqocalivalle2021 bmx kingman koochoy culmin su participacin en ciclismo bmx de los i juegos panamericanos junior cali valle r4 1 r4 2 r4 3 semi general gracias por el esfuerzo vamos ', 'y si se promueve el uso de la bicicleta en cuando volvern la ciclova de la av arequipa exclusiva para bicicletas ahora es solo la mitad ciclova para bicicletas y veredas laterales para peatones sera lgico no ']"
50,35,50_trabajando_work_industria_oficina,"['trabajando', 'work', 'industria', 'oficina', 'hogar', 'sellos', 'maquinariapesada', 'laptop', 'eficiencia', 'intendencia']","['maquinariapesada', 'trabajador', 'trabajando', 'workinprogress', 'maquinarias', 'fabricantes', 'trabajo', 'maquinasviales', 'equipospesados', 'industri']","['trabajando', 'oficina', 'laptop', 'trabajador', 'proyectos', 'workinprogress', 'lista71', 'lolofernndez', 'maquinarias', 'imprimen']","['consultas monte caseros corrientes serviciosviales eficiencia maquinariapesada maquinariapesada industria maquinasviales equipospesados vialcor', 'er aniversario nacionalizacin petrolera de aniversarios jubileos industria del acero industria del petrleo sellos sellos stamps filatelia estampillas stampscollector francobollo ', 'laptop desmontable a slo bs laptop tactil touch tecnologia hogar oficina clases virtual oferta hp tablet technology equipo americano original enviosnivelnacional']"
51,33,51_septiembre_rmac_febrero_abril,"['septiembre', 'rmac', 'febrero', 'abril', 'junio', 'mayo', 'colegio', 'ta', 'agosto', 'hombresg']","['fecha', 'agosto', 'septiembre', 'junin', 'abril2021', 'julio', '18deabril', 'junio', 'enero', 'fechas']","['abril', 'colegio', 'agosto', '10denoviembre', 'verde70', 'abril2021', '18deabril', 'mesaniversario', 'daderamos', 'aug']","['lo tendremos en septiembre en ', 'el de junio se conmemora la promulgacin de la ley del de julio de que resolvi la creacin del colegio de periodistas de muy feliz da a todas y todos mis colegas ', 'de febrero en rmac ']"
52,30,52_paz_firmar_saldr_pueblo,"['paz', 'firmar', 'saldr', 'pueblo', '11mar', 'tenso', 'tempestad', 'sejam', 'invasoresotan', 'civilizacin']","['paz', 'acuerdo', 'convivencia', 'solidarios', 'justa', 'cambioporlavida', 'felizjueves', 'caminho', 'pueblo', 'segura']","['paz', 'civilizacin', 'liderizando', 'sabedoria', 'palestino', 'nucleares', 'yasser', 'conmemor', 'escuadron', 'progrese']","['la paz ', 'la paz', 'paz para']"
