AL,AD,AT,BY,BE,BA,BG,HR,CZ,DK,EE,FI,FR,DE,VA,HU,IS,IE,IT,LV,LI,LT,LU,MK,MT,MD,MC,ME,NL,NO,PL,PT,RO,RU,SM,RS,SK,SI,ES,SE,CH,TR,UA,GB,GR
0.0,0.0,4.0,2.0,6.0,1.0,1.0,2.0,1.0,19.0,1.0,15.0,38.0,17.0,0.0,4.0,5.0,7.0,23.0,1.0,0.0,2.0,1.0,1.0,2.0,16.0,0.0,0.0,7.0,0.0,4.0,5.0,5.0,31.0,0.0,0.0,1.0,2.0,31.0,28.0,3.0,3.0,24.0,90.0,4.0
2.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,3.0,23.0,14.0,0.0,2.0,1.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,31.0,0.0,2.0,5.0,1.0,13.0,5.0,6.0,1.0,37.0,35.0,0.0
1.0,1.0,6.0,0.0,8.0,0.0,1.0,5.0,8.0,2.0,1.0,3.0,43.0,13.0,0.0,1.0,1.0,2.0,38.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,6.0,2.0,1.0,0.0,0.0,19.0,1.0,3.0,0.0,0.0,111.0,2.0,6.0,4.0,23.0,49.0,3.0
2.0,0.0,14.0,4.0,6.0,1.0,20.0,5.0,7.0,2.0,2.0,6.0,95.0,16.0,0.0,17.0,4.0,3.0,24.0,2.0,0.0,6.0,4.0,0.0,0.0,24.0,0.0,0.0,19.0,2.0,8.0,9.0,0.0,58.0,0.0,8.0,2.0,0.0,34.0,4.0,2.0,21.0,101.0,141.0,8.0
0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,6.0,3.0,1.0,0.0,1.0,1.0,6.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,3.0,11.0,8.0,2.0
0.0,6.0,28.0,2.0,1.0,2.0,2.0,9.0,6.0,7.0,0.0,3.0,34.0,21.0,3.0,9.0,2.0,4.0,492.0,0.0,0.0,1.0,1.0,0.0,5.0,5.0,1.0,2.0,5.0,2.0,1.0,6.0,0.0,117.0,0.0,3.0,0.0,2.0,20.0,9.0,6.0,7.0,7.0,91.0,12.0
0.0,0.0,0.0,0.0,1.0,2.0,5.0,2.0,0.0,1.0,0.0,1.0,11.0,4.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,3.0,3.0,5.0,1.0
2.0,2.0,41.0,3.0,5.0,5.0,3.0,5.0,29.0,7.0,0.0,9.0,136.0,36.0,5.0,41.0,3.0,14.0,35.0,1.0,3.0,0.0,2.0,0.0,1.0,3.0,1.0,1.0,7.0,5.0,17.0,11.0,2.0,62.0,1.0,7.0,0.0,2.0,28.0,5.0,8.0,15.0,83.0,132.0,6.0
0.0,0.0,123.0,0.0,3.0,3.0,7.0,25.0,3.0,0.0,1.0,0.0,31.0,12.0,0.0,3.0,0.0,3.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,5.0,5.0,2.0,10.0,0.0,7.0,4.0,0.0,13.0,5.0,1.0,2.0,7.0,39.0,5.0
0.0,1.0,5.0,1.0,7.0,0.0,3.0,4.0,2.0,5.0,1.0,1.0,53.0,30.0,0.0,6.0,2.0,1.0,51.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,7.0,2.0,4.0,14.0,0.0,24.0,0.0,0.0,2.0,0.0,0.0,19.0,10.0,6.0,25.0,50.0,6.0
1.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,9.0,0.0,10.0,30.0,28.0,1.0,1.0,5.0,3.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,15.0,1.0,1.0,0.0,14.0,0.0,1.0,2.0,0.0,15.0,0.0,4.0,3.0,12.0,69.0,1.0
1.0,1.0,20.0,1.0,9.0,0.0,0.0,8.0,5.0,5.0,0.0,1.0,112.0,49.0,3.0,4.0,4.0,5.0,54.0,1.0,1.0,2.0,1.0,1.0,0.0,15.0,1.0,0.0,7.0,7.0,21.0,17.0,1.0,25.0,1.0,0.0,11.0,2.0,61.0,8.0,0.0,18.0,46.0,94.0,7.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,3.0
0.0,0.0,2.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,13.0,5.0,0.0,3.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,141.0,0.0,1.0,0.0,0.0,6.0,2.0,2.0,7.0,0.0,15.0,0.0
2.0,0.0,6.0,1.0,8.0,0.0,2.0,4.0,4.0,6.0,1.0,1.0,144.0,30.0,0.0,4.0,5.0,29.0,27.0,0.0,0.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,13.0,1.0,7.0,11.0,0.0,20.0,0.0,2.0,2.0,1.0,39.0,5.0,11.0,7.0,12.0,0.0,3.0
1.0,0.0,2.0,1.0,12.0,0.0,3.0,2.0,1.0,3.0,1.0,0.0,56.0,14.0,1.0,0.0,11.0,3.0,13.0,0.0,0.0,0.0,0.0,7.0,1.0,5.0,0.0,0.0,3.0,1.0,2.0,0.0,2.0,15.0,0.0,0.0,0.0,2.0,15.0,4.0,5.0,34.0,14.0,71.0,0.0
