AL,AD,AT,BY,BE,BA,BG,HR,CZ,DK,EE,FI,FR,DE,VA,HU,IS,IE,IT,LV,LI,LT,LU,MK,MT,MD,MC,ME,NL,NO,PL,PT,RO,RU,SM,RS,SK,SI,ES,SE,CH,TR,UA,GB,GR
10.0,0.0,1.0,3.0,2.0,5.0,14.0,14.0,4.0,1.0,1.0,1.0,24.0,3.0,0.0,3.0,1.0,1.0,7.0,1.0,0.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,2.0,2.0,5.0,1.0,1.0,15.0,0.0,22.0,1.0,3.0,8.0,1.0,2.0,7.0,21.0,19.0,6.0
1.0,1.0,2.0,2.0,11.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,27.0,15.0,1.0,2.0,0.0,6.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,25.0,2.0,3.0,2.0,9.0,48.0,2.0
0.0,0.0,4.0,2.0,6.0,1.0,1.0,2.0,1.0,19.0,1.0,15.0,39.0,18.0,0.0,4.0,5.0,7.0,27.0,1.0,0.0,2.0,1.0,1.0,2.0,16.0,1.0,0.0,8.0,0.0,4.0,5.0,4.0,31.0,0.0,0.0,1.0,2.0,32.0,29.0,3.0,3.0,25.0,94.0,4.0
2.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,3.0,24.0,14.0,0.0,2.0,1.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,33.0,0.0,2.0,5.0,1.0,14.0,5.0,6.0,1.0,37.0,37.0,0.0
1.0,1.0,6.0,0.0,8.0,0.0,1.0,5.0,8.0,2.0,1.0,3.0,45.0,13.0,0.0,1.0,1.0,2.0,39.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,6.0,2.0,1.0,0.0,0.0,21.0,1.0,3.0,0.0,0.0,113.0,2.0,6.0,5.0,23.0,55.0,3.0
2.0,0.0,15.0,4.0,7.0,1.0,20.0,5.0,7.0,2.0,2.0,6.0,97.0,16.0,0.0,17.0,4.0,3.0,24.0,2.0,0.0,6.0,4.0,0.0,0.0,23.0,0.0,0.0,19.0,2.0,8.0,9.0,0.0,61.0,0.0,9.0,2.0,0.0,34.0,4.0,2.0,22.0,98.0,160.0,8.0
0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,6.0,3.0,1.0,0.0,1.0,1.0,6.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,3.0,11.0,8.0,2.0
0.0,6.0,28.0,2.0,1.0,2.0,2.0,9.0,6.0,7.0,0.0,3.0,34.0,21.0,3.0,9.0,2.0,4.0,491.0,0.0,0.0,1.0,1.0,0.0,5.0,5.0,1.0,2.0,5.0,2.0,1.0,6.0,0.0,117.0,0.0,3.0,0.0,2.0,21.0,9.0,6.0,7.0,8.0,93.0,12.0
0.0,0.0,0.0,0.0,1.0,2.0,5.0,2.0,0.0,1.0,0.0,1.0,13.0,4.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,2.0,3.0,5.0,1.0
2.0,2.0,41.0,5.0,5.0,5.0,3.0,5.0,29.0,7.0,0.0,9.0,144.0,35.0,3.0,40.0,3.0,15.0,33.0,1.0,3.0,0.0,2.0,0.0,1.0,3.0,1.0,1.0,7.0,5.0,15.0,11.0,2.0,63.0,1.0,7.0,0.0,2.0,28.0,5.0,8.0,13.0,84.0,151.0,6.0
0.0,0.0,103.0,0.0,3.0,3.0,7.0,25.0,3.0,0.0,1.0,0.0,31.0,12.0,1.0,3.0,0.0,3.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,5.0,5.0,2.0,10.0,0.0,7.0,4.0,0.0,13.0,5.0,1.0,2.0,7.0,41.0,4.0
0.0,1.0,5.0,1.0,7.0,0.0,3.0,4.0,2.0,5.0,1.0,1.0,53.0,32.0,0.0,6.0,2.0,2.0,50.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,7.0,2.0,4.0,15.0,0.0,26.0,0.0,0.0,2.0,0.0,0.0,19.0,10.0,6.0,24.0,55.0,6.0
1.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,9.0,0.0,9.0,30.0,28.0,1.0,2.0,5.0,3.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,16.0,1.0,1.0,0.0,16.0,0.0,1.0,2.0,0.0,16.0,0.0,4.0,4.0,12.0,71.0,1.0
1.0,1.0,20.0,1.0,10.0,0.0,0.0,8.0,5.0,5.0,0.0,1.0,110.0,48.0,2.0,4.0,4.0,5.0,55.0,1.0,1.0,2.0,1.0,1.0,0.0,15.0,1.0,0.0,7.0,7.0,21.0,18.0,1.0,28.0,1.0,0.0,11.0,2.0,63.0,8.0,0.0,20.0,46.0,98.0,8.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,3.0
0.0,0.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,13.0,5.0,0.0,3.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,142.0,0.0,1.0,0.0,0.0,6.0,2.0,2.0,7.0,0.0,16.0,0.0
2.0,0.0,6.0,1.0,8.0,0.0,2.0,4.0,4.0,6.0,1.0,1.0,148.0,30.0,0.0,4.0,5.0,30.0,25.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,13.0,1.0,7.0,12.0,0.0,20.0,0.0,2.0,2.0,1.0,39.0,5.0,12.0,7.0,13.0,0.0,3.0
1.0,0.0,2.0,1.0,12.0,0.0,3.0,2.0,1.0,3.0,1.0,0.0,56.0,14.0,1.0,0.0,11.0,4.0,12.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,0.0,0.0,3.0,1.0,2.0,0.0,2.0,14.0,0.0,0.0,0.0,2.0,15.0,4.0,5.0,36.0,14.0,81.0,0.0
