AL,AD,AT,BY,BE,BA,BG,HR,CZ,DK,EE,FI,FR,DE,VA,HU,IS,IE,IT,LV,LI,LT,LU,MK,MT,MD,MC,ME,NL,NO,PL,PT,RO,RU,SM,RS,SK,SI,ES,SE,CH,TR,UA,GB,GR
9.0,0.0,0.0,3.0,2.0,4.0,14.0,14.0,4.0,1.0,1.0,1.0,21.0,2.0,0.0,3.0,1.0,1.0,6.0,1.0,0.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,1.0,12.0,0.0,18.0,1.0,3.0,8.0,1.0,2.0,7.0,16.0,18.0,6.0
1.0,1.0,2.0,2.0,11.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,24.0,14.0,1.0,2.0,0.0,6.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,25.0,2.0,3.0,2.0,7.0,46.0,2.0
0.0,0.0,4.0,2.0,6.0,1.0,1.0,2.0,1.0,19.0,1.0,15.0,38.0,16.0,0.0,4.0,5.0,7.0,23.0,1.0,0.0,2.0,1.0,1.0,2.0,16.0,0.0,0.0,7.0,0.0,3.0,5.0,3.0,28.0,0.0,0.0,1.0,2.0,30.0,27.0,3.0,3.0,19.0,88.0,4.0
2.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,23.0,14.0,0.0,2.0,1.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,27.0,0.0,2.0,5.0,1.0,13.0,5.0,5.0,1.0,28.0,34.0,0.0
1.0,1.0,5.0,0.0,6.0,0.0,1.0,5.0,8.0,2.0,1.0,3.0,43.0,13.0,0.0,1.0,1.0,2.0,37.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,6.0,2.0,1.0,0.0,0.0,16.0,1.0,3.0,0.0,0.0,110.0,2.0,6.0,4.0,17.0,49.0,3.0
2.0,0.0,14.0,4.0,5.0,1.0,20.0,5.0,7.0,2.0,2.0,6.0,92.0,14.0,0.0,16.0,3.0,3.0,23.0,2.0,0.0,6.0,4.0,0.0,0.0,22.0,0.0,0.0,19.0,2.0,7.0,9.0,0.0,50.0,0.0,8.0,2.0,0.0,34.0,4.0,2.0,20.0,75.0,136.0,8.0
0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,6.0,2.0,1.0,0.0,1.0,1.0,6.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,9.0,7.0,2.0
0.0,6.0,28.0,2.0,1.0,2.0,2.0,9.0,6.0,6.0,0.0,3.0,33.0,18.0,3.0,9.0,2.0,4.0,489.0,0.0,0.0,1.0,1.0,0.0,5.0,3.0,1.0,2.0,5.0,2.0,1.0,6.0,0.0,106.0,0.0,3.0,0.0,2.0,20.0,9.0,6.0,4.0,7.0,88.0,12.0
0.0,0.0,0.0,0.0,1.0,2.0,5.0,2.0,0.0,1.0,0.0,1.0,11.0,3.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,4.0,3.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,2.0,2.0,4.0,1.0
2.0,2.0,39.0,2.0,5.0,5.0,3.0,5.0,29.0,7.0,0.0,8.0,134.0,34.0,3.0,39.0,3.0,14.0,33.0,1.0,2.0,0.0,2.0,0.0,1.0,3.0,1.0,1.0,7.0,5.0,14.0,11.0,1.0,48.0,1.0,7.0,0.0,2.0,27.0,5.0,8.0,13.0,61.0,125.0,6.0
0.0,0.0,103.0,0.0,3.0,3.0,7.0,25.0,3.0,0.0,1.0,0.0,30.0,11.0,0.0,3.0,0.0,3.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,5.0,5.0,2.0,8.0,0.0,7.0,4.0,0.0,13.0,5.0,1.0,2.0,3.0,39.0,4.0
0.0,1.0,5.0,1.0,7.0,0.0,3.0,4.0,2.0,5.0,1.0,1.0,53.0,29.0,0.0,6.0,2.0,1.0,48.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,7.0,2.0,4.0,14.0,0.0,22.0,0.0,0.0,2.0,0.0,0.0,19.0,9.0,6.0,14.0,50.0,5.0
1.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,9.0,28.0,27.0,1.0,1.0,5.0,3.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,15.0,1.0,1.0,0.0,12.0,0.0,1.0,2.0,0.0,15.0,0.0,4.0,3.0,5.0,67.0,1.0
1.0,1.0,18.0,1.0,9.0,0.0,0.0,8.0,5.0,5.0,0.0,0.0,107.0,48.0,2.0,4.0,4.0,5.0,54.0,1.0,1.0,2.0,1.0,1.0,0.0,15.0,1.0,0.0,7.0,7.0,18.0,17.0,1.0,21.0,1.0,0.0,11.0,2.0,61.0,8.0,0.0,16.0,33.0,94.0,7.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,3.0
0.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,12.0,3.0,0.0,3.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,95.0,0.0,1.0,0.0,0.0,5.0,2.0,2.0,6.0,0.0,14.0,0.0
2.0,0.0,6.0,0.0,8.0,0.0,2.0,4.0,4.0,6.0,1.0,1.0,142.0,29.0,0.0,4.0,5.0,29.0,24.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,13.0,1.0,7.0,11.0,0.0,16.0,0.0,1.0,2.0,1.0,39.0,5.0,11.0,6.0,7.0,0.0,3.0
1.0,0.0,2.0,0.0,12.0,0.0,3.0,2.0,1.0,3.0,1.0,0.0,54.0,14.0,1.0,0.0,11.0,3.0,12.0,0.0,0.0,0.0,0.0,7.0,1.0,5.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,8.0,0.0,0.0,0.0,2.0,15.0,3.0,5.0,28.0,10.0,70.0,0.0
