lat_lon,AL,AZ,AR,CA,CO,CT,DE,DC,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WV,WI,WY
0,"(32.79354, -86.82676)","(34.29323, -111.66457)","(34.89977, -92.4392)","(37.24537, -119.60818)","(38.99855, -105.54783)","(41.62196, -72.72623)","(38.99559, -75.50592)","(38.90932, -77.01464)","(28.67402, -82.50934)","(32.65155, -83.44848)","(44.38907, -114.65933)","(40.06501, -89.19838)","(39.90801, -86.27548)","(42.07463, -93.50003)","(38.48471, -98.38019)","(37.52668, -85.29046)","(31.0891, -92.02905)","(45.38046, -69.22999)","(39.04533, -76.78588)","(42.25788, -71.81423)","(44.34717, -85.43675)","(46.31189, -94.31357)","(32.75201, -89.66553)","(38.3208, -92.38554)","(47.0335, -109.64507)","(41.52709, -99.81058)","(39.35648, -116.65539)","(43.68556, -71.57754)","(40.20049, -74.66876)","(34.42137, -106.10837)","(42.94796, -75.51491)","(35.54369, -79.37865)","(47.44626, -100.46935)","(40.2912, -82.79002)","(35.58345, -97.50819)","(43.93589, -120.55232)","(40.87368, -77.7993)","(41.67544, -71.55579)","(33.93574, -80.89899)","(44.43614, -100.23048)","(35.84299, -86.34332)","(31.49422, -99.35939)","(39.32379, -111.67822)","(44.07511, -72.66273)","(37.51637, -78.82957)","(38.64259, -80.61372)","(44.63725, -90.01144)","(42.99963, -107.55144)"
"(40.06501, -89.19838)",834.354459301853,2088.67877586362,640.813854298003,2652.46012097784,1408.61401454392,1397.70200453573,1182.01170621344,1055.13389946799,1404.32415657628,970.577516262385,2146.73589169645,0,250.243315175996,424.791708278652,811.087473751878,441.122828073035,1028.24722931219,1733.29434678928,1071.90111335419,1476.5359854823,567.95530794182,808.623755316713,812.579239639886,336.576920428279,1817.48143367297,909.588208779675,2346.48345592005,1513.72668924933,1237.04156945816,1622.48173084193,1184.88538351019,998.948679458569,1221.04622309152,546.26822715104,884.059763906931,2616.80395719101,970.180256259439,1495.31571218249,1003.32963162926,1030.56190251087,531.495610929088,1320.44189300748,1924.80164377875,1436.19796162061,943.567900308764,756.276076946299,512.276083500223,1562.56147167737
"(39.90801, -86.27548)",791.008058684371,2332.45350612351,778.555855311365,2902.70343612484,1658.63592132913,1158.47271212217,931.906536651882,804.890596824953,1293.15277904806,844.182465113863,2385.6323059285,250.243315175996,0,653.531902339292,1056.70473322862,277.880457554596,1108.35964659653,1520.44810249766,821.705628281636,1241.2393614242,497.928012418373,965.534703352009,850.216666532436,556.900840208179,2040.04990554056,1156.43020457114,2596.18937920757,1289.52175631392,990.184341232796,1859.02097423162,959.866074882985,776.954545897485,1414.67070124914,300.213592880232,1099.08829462913,2857.28526692021,727.315161024354,1256.13972576903,817.407914118676,1255.85096967599,451.233239199901,1505.04012852417,2174.9391932681,1217.35358177368,699.633309736658,508.244493593539,608.887545965983,1805.44273775737
"(42.07463, -93.50003)",1186.42921120521,1805.39203873706,801.792476268134,2294.00647017052,1075.22217013812,1721.69214649119,1559.22634944613,1438.5865095476,1787.59450954254,1371.47257762021,1732.98934842391,424.791708278652,653.531902339292,0,575.265725846198,864.963828424697,1226.10344983769,1981.76422220554,1452.3905175159,1787.2596058397,701.809291032604,475.290604874235,1088.61321224644,427.473443638521,1392.79741879595,527.851209912386,1973.44455687232,1794.6908784401,1591.4134326337,1390.22131748368,1478.44444859935,1422.07651385871,812.242059679066,919.490173470756,800.001283586903,2205.41098330144,1316.3595700112,1817.18068527053,1425.89780062166,605.978275792329,928.47550756917,1284.5307675477,1563.26270833294,1706.85636243717,1352.33585180703,1157.67014411274,401.225051927141,1157.52765458136
"(38.48471, -98.38019)",1220.72904935593,1277.86691791135,663.196642255061,1868.82778464184,625.599197869086,2208.12370315449,1984.31544054537,1855.03216808528,1827.13360773369,1497.85054081202,1506.71701638641,811.087473751878,1056.70473322862,575.265725846198,0,1153.53734496406,1004.86939199851,2520.05237701946,1873.43114962352,2285.09740348431,1260.68319228266,931.35073686727,1012.99992017469,523.855558668422,1321.09467917056,359.195733806228,1585.1277824018,2313.86643194162,2046.82736154878,826.126503036457,1987.70127057515,1718.98362586691,1009.93758782818,1356.18261834602,331.187092623245,1948.54441811189,1781.24697829192,2305.64956329139,1647.96281554879,678.765812428792,1107.64570160679,780.651181970563,1156.21510266302,2231.8572544188,1717.29626935703,1546.12748016717,975.874553398542,921.884772187673
"(37.52668, -85.29046)",543.421483248919,2399.5173643492,705.552240083206,3022.21165945923,1776.71191995012,1169.92766120142,871.269646946891,740.515301939792,1015.41363600869,566.302561553356,2571.406354512,441.122828073035,277.880457554596,864.963828424697,1153.53734496406,0,945.303311518594,1595.94240399937,762.607381538328,1264.73850218742,757.534900013378,1228.07241415426,662.811570157225,629.856286182325,2256.30613577773,1323.08760790074,2732.03691179642,1344.5440656289,967.760872947857,1904.86825269228,1025.69985272563,573.175714650828,1659.42350385634,375.759431336,1114.01768570195,3037.85727392766,745.798500505078,1264.58775620505,562.518853152142,1469.53742375997,209.197012523111,1452.74307184593,2304.66871289996,1287.79375163014,571.031840950848,428.526789002126,883.318922009274,1981.81356991767
"(31.0891, -92.02905)",526.8722521145,1872.21020693534,424.353942023078,2622.56047533243,1510.97588501846,2082.19975832067,1740.13386848545,1618.83039320087,957.402689537996,829.9620650894,2467.43012630172,1028.24722931219,1108.35964659653,1226.10344983769,1004.86939199851,945.303311518594,0,2534.0130174285,1643.40962043526,2182.12808197857,1580.79112445822,1701.34476880021,289.751876807773,802.91615949992,2325.03361426509,1351.35930329745,2412.45483726461,2277.12319529679,1863.9321216992,1368.81397327965,1966.06127710721,1276.09799240297,1953.75308247442,1318.12555202428,712.952182019137,2875.56080646524,1676.99455007876,2171.74954076897,1091.74394172317,1646.18070222079,746.273778958716,699.251449773478,2002.91948559841,2226.69265850355,1406.75587511783,1336.64433606969,1514.08647301573,1905.54450545197
"(45.38046, -69.22999)",2058.01281300675,3785.15365074939,2282.4509461611,4242.21476822378,3054.87023969592,504.188917287378,877.876533873597,963.814037453367,2191.93603198251,1868.58528688451,3542.5308940807,1733.29434678928,1520.44810249766,1981.76422220554,2520.05237701946,1595.94240399937,2534.0130174285,0,939.586790108394,404.413455373433,1283.81923497858,1943.02933994789,2245.52895509561,2067.36522324727,3089.60139983582,2496.30949324343,3905.47473929302,265.099450757601,727.040989430111,3344.91020528077,570.518639332452,1388.32131382404,2396.48375951952,1242.23887667596,2614.97918275045,4003.70555108661,857.662420722387,452.491689122623,1614.25721091985,2435.26079855645,1787.99414024503,3022.40743187124,3519.26819381971,308.171109012856,1184.17287969052,1201.86303985691,1635.82198504059,3046.13036374929
"(39.04533, -76.78588)",1140.02142329642,3142.60316621617,1465.51559496178,3724.2466463616,2480.26571400155,448.089307416505,110.982924461743,24.91855333973,1265.71748232687,929.751001330973,3177.73734051308,1071.90111335419,821.705628281636,1452.3905175159,1873.43114962352,762.607381538328,1643.40962043526,939.586790108394,0,551.251970554826,929.33055395543,1642.64968533117,1354.3102278382,1358.06295693815,2796.90075302123,1971.25079991575,3415.61164915242,674.597370824755,222.459107691869,2656.85282720273,446.384118166632,451.47625773222,2126.41126214288,533.313270018654,1872.27453231488,3651.54482369352,220.700013217849,531.502010411665,676.060044775436,2031.95342204307,916.779205807517,2210.59219006019,2995.89652323699,655.813697347925,246.520257878168,335.287027488216,1259.65528091278,2609.51695393395
"(42.25788, -71.81423)",1688.05997361453,3562.56802582205,1967.36960075361,4079.67866289371,2858.03625174707,103.48333331688,478.224401116066,576.090804821033,1789.34671715098,1479.23717214459,3443.51711393889,1476.5359854823,1241.2393614242,1787.2596058397,2285.09740348431,1264.73850218742,2182.12808197857,404.413455373433,551.251970554826,0,1128.01564780383,1844.66295090861,1892.37663330966,1798.13384329654,3017.31546932423,2314.35927872837,3753.63637963903,159.774900698478,330.851038158804,3098.43427496416,313.188594679544,992.198197644048,2322.90331775407,944.448163951668,2337.59524981143,3914.01548478599,522.225211905327,68.1479243305308,1218.46104316717,2304.97773460315,1442.46404119503,2714.33866857384,3349.52130625015,213.349257953819,797.748454225412,846.949377133949,1493.25452134677,2910.41034808289
"(44.34717, -85.43675)",1288.1988154093,2507.09126853951,1207.90565366452,2966.008289799,1771.41782213823,1078.7002533319,1017.23909834593,925.033595511393,1758.59075598946,1309.71173484665,2316.80529175386,567.95530794182,497.928012418373,701.809291032604,1260.68319228266,757.534900013378,1580.79112445822,1283.81923497858,929.33055395543,1128.01564780383,0,728.870493402837,1338.38648376672,886.047381424313,1901.32313762637,1212.56164921082,2634.16066784306,1112.38548921254,999.492525558099,2085.25731736151,814.903012648827,1105.3433441491,1214.19678486677,500.512862487667,1415.08433579366,2788.43589567364,735.475200122639,1168.3274390417,1220.09260856689,1177.14946983601,947.418297608636,1874.37253694669,2239.38135357711,1020.32897912722,940.083068217982,750.411533050506,365.247696903547,1784.25882554446
