Topic,Count,Name,Representation,KeyBERT,MMR,Representative_Docs
50,452,50_halloween_pumpkin_happy_costume,"['halloween', 'pumpkin', 'happy', 'costume', 'happyhalloween', 'spooky', 'haunted', 'candy', 'ghost', 'pumpkins']","['halloween', 'halloweendecor', 'halloween2019', 'halloween2022', 'happyhalloween', 'halloweencostume', 'halloweenmakeup', 'thanksgiving', '31daysofhalloween', 'festivities']","['halloween', 'happyhalloween', 'spooky', 'haunted', 'pumpkins', 'halloween2019', 'halloweencostume', 'creepy', 'halloween2022', 'ghostbusters']","['happy halloween!!! \\m/ ,', 'happy halloween! ,', 'halloween was ,']"
51,444,51_always_never_keep_stay,"['always', 'never', 'keep', 'stay', 'strong', 'forget', 'siempre', 'matter', 'life', 'give']","['siempre', 'always', 'ever', 'neverforget', 'forever', 'every', 'staystrong', 'staytruetoyourself', 'everything', 'keep']","['keep', 'strong', 'forget', 'siempre', 'focused', 'struggle', 'still', 'succeed', 'hard', 'vive']","['always.', 'always be  from ,', 'always above all ,']"
52,444,52_cat_catsofinstagram_cats_kitty,"['cat', 'catsofinstagram', 'cats', 'kitty', 'kitten', 'kittens', 'cats_of_instagram', 'catstagram', 'kittensofinstagram', 'catlife']","['catslife', 'gato', 'cats', 'kitten', 'cat', 'catsitter', 'catlife', 'kittensofinstagram', 'kittens', 'catsofinstagram']","['catsofinstagram', 'cats', 'kitten', 'kittens', 'cats_of_instagram', 'catstagram', 'kittensofinstagram', 'catsoftwitter', 'kittiesofinstagram', 'catslife']","['big cat vs tiny box. catsofinstagram cat max is quite comfortable here. ,', 'watching the snow outside with my brother kittencuddles kitten kittens kitty cat cats catsofinstagram kittensofinstagram catlife nyc ,', 'cat life ,']"
53,442,53_coffee_cup_starbucks_espresso,"['coffee', 'cup', 'starbucks', 'espresso', 'tea', 'morning', 'latte', 'caf', 'coffeelover', 'iced']","['coffee', 'coffeetime', 'caf', 'coffeelover', 'coffeeholic', 'coffeesnob', 'coffeehouse', 'morningcoffee', 'coffeeaddict', 'coffeeshop']","['coffee', 'espresso', 'coffeelover', 'coffeetime', 'caffeine', 'cappuccino', 'coffeeshop', 'frappuccino', 'morningcoffee', 'cups']","['coffee time! ,', ""i'm at . coffee in , w/"", ""i'm at coffee in ,""]"
54,428,54_fit_job_interested_recommend,"['fit', 'job', 'interested', 'recommend', 'might', 'great', 'could', 'anyone', 'manager', 'assistant']","['jobs', 'hiring', 'job', 'career', 'receptionist', 'opportunities', 'assistant', 'opportunity', 'worker', 'work']","['fit', 'job', 'recommend', 'manager', 'assistant', 'engineer', 'technician', 'coordinator', 'consultant', 'finance']","['interested in a drivers job in , ? this could be a great fit.', 'interested in a community manager job in , ? this could be a great fit.', 'interested in a job in , ? this could be a great fit.']"
55,426,55_tickets_ticket_selling_sale,"['tickets', 'ticket', 'selling', 'sale', 'show', 'available', 'get', 'buy', 'sold', 'see']","['tickets', 'boletos', 'ticket', 'booked', 'seats', 'concert', 'tour', 'seat', 'show', 'got']","['tickets', 'ticket', 'show', 'seats', 'sell', 'row', 'saturday', 'tour', 'booked', 'win']","['got tickets for the show', 'got my tickets!!! see you in !!!', 'got tickets to']"
56,423,56_bike_ride_bikes_cycling,"['bike', 'ride', 'bikes', 'cycling', 'motorcycle', 'bicycle', 'riding', 'biking', 'bikelife', 'trail']","['bikeride', 'biking', 'cycling', 'bicycling', 'bike', 'bikelife', 'cyclinglife', 'bicycle', 'bikes', 'biker']","['bikes', 'biking', 'bikelife', 'cyclists', 'motorcycles', 'mountainbike', 'bikechi', 'motocross', 'bikeride', 'riders']","['is best by bike.', 'my first bike in the .... so, why is it in ?!?! ,', 'bike ride ,']"
57,420,57_earthquake_usgs_utc_km,"['earthquake', 'usgs', 'utc', 'km', 'm1', 'reports', 'm0', '21', '22', '20']","['earthquake', 'quake', 'usgs', 'm2', 'm1', 'km', 'm3', 'm0', 'utc', 'reports']","['earthquake', 'usgs', 'utc', 'km', 'reports', 'm2', 'quake', 'wnw', '26', '41']","['usgs reports a m1.3 earthquake, km e of , on /8/21 :22:26 utc earthquake', 'usgs reports a m1.2 earthquake, km s of , on /4/22 :15:21 utc earthquake', 'usgs reports a m1.2 earthquake, km s of , on /2/20 :22:11 utc earthquake']"
58,404,58_love_loves_amor_much,"['love', 'loves', 'amor', 'much', 'fell', 'loved', 'loving', 'loveislove', 'kiss', 'life']","['amo', 'amor', 'loves', 'love', 'loveislove', 'loving', 'loved', 'lovecasm', 'lovewins', 'loveyourself']","['love', 'loves', 'amor', 'loveislove', 'truelove', 'heart', 'selflove', 'lovecasm', 'unconditionallove', 'daybreak']","['i love you, .', 'love for , and !', 'we love !!']"
59,401,59_rain_raining_rainy_rains,"['rain', 'raining', 'rainy', 'rains', 'umbrella', 'day', 'morning', 'wet', 'weather', 'pouring']","['lluvia', 'rain', 'rained', 'raining', 'rainy', 'rainingday', 'rainyday', 'rains', 'raindrops', 'rainstorm']","['rain', 'raining', 'rainy', 'rains', 'downpour', 'rained', 'rainraingoaway', 'rainclouds', 'rainingday', 'raindrops']","['has just had rain and more rain', 'after the rain ,', 'rain on me ,']"
