unicode	country	unicode_1	country_code
\\u0001f1f5\\u0001f1f0	Pakistan	\u0001f1f5\u0001f1f0	flag: Pakistan
\\u0001f1f5\\u0001f1f1	Poland	\u0001f1f5\u0001f1f1	flag: Poland
\\u0001f1f5\\u0001f1f2	Saint Pierre and Miquelon	\u0001f1f5\u0001f1f2	flag: Saint Pierre and Miquelon
\\u0001f1f5\\u0001f1f3	Pitcairn	\u0001f1f5\u0001f1f3	flag: Pitcairn
\\u0001f1f5\\u0001f1f7	Puerto Rico	\u0001f1f5\u0001f1f7	flag: Puerto Rico
\\u0001f1f5\\u0001f1f8	Palestinian Territory	\u0001f1f5\u0001f1f8	flag: Palestinian Territory
\\u0001f1f5\\u0001f1f9	Portugal	\u0001f1f5\u0001f1f9	flag: Portugal
\\u0001f1f5\\u0001f1fc	Palau	\u0001f1f5\u0001f1fc	flag: Palau
\\u0001f1f5\\u0001f1fe	Paraguay	\u0001f1f5\u0001f1fe	flag: Paraguay
\\u0001f1f6\\u0001f1e6	Qatar	\u0001f1f6\u0001f1e6	flag: Qatar
\\u0001f1f7\\u0001f1ea	Réunion	\u0001f1f7\u0001f1ea	flag: Réunion
\\u0001f1f7\\u0001f1f4	Romania	\u0001f1f7\u0001f1f4	flag: Romania
\\u0001f1f7\\u0001f1f8	Serbia	\u0001f1f7\u0001f1f8	flag: Serbia
\\u0001f1f7\\u0001f1fa	Russia	\u0001f1f7\u0001f1fa	flag: Russia
\\u0001f1f7\\u0001f1fc	Rwanda	\u0001f1f7\u0001f1fc	flag: Rwanda
\\u0001f1f8\\u0001f1e6	Saudi Arabia	\u0001f1f8\u0001f1e6	flag: Saudi Arabia
\\u0001f1f8\\u0001f1e7	Solomon Islands	\u0001f1f8\u0001f1e7	flag: Solomon Islands
\\u0001f1f8\\u0001f1e8	Seychelles	\u0001f1f8\u0001f1e8	flag: Seychelles
\\u0001f1f8\\u0001f1e9	Sudan	\u0001f1f8\u0001f1e9	flag: Sudan
\\u0001f1f8\\u0001f1ea	Sweden	\u0001f1f8\u0001f1ea	flag: Sweden
\\u0001f1f8\\u0001f1ec	Singapore	\u0001f1f8\u0001f1ec	flag: Singapore
\\u0001f1f8\\u0001f1ed	Saint Helena, Ascension and Tristan Da Cunha	\u0001f1f8\u0001f1ed	flag: Saint Helena, Ascension and Tristan Da Cunha
\\u0001f1f8\\u0001f1ee	Slovenia	\u0001f1f8\u0001f1ee	flag: Slovenia
\\u0001f1f8\\u0001f1ef	Svalbard and Jan Mayen	\u0001f1f8\u0001f1ef	flag: Svalbard and Jan Mayen
